ticker,beta,correlation_with_market,outperformance_rate
ACB,0.9904179966389377,0.7049082097398757,0.46634615384615385
BCM,0.9103228070609004,0.48360874192682307,0.43509615384615385
BID,1.1711733870796177,0.7276259965379995,0.43830128205128205
BVH,1.0508824446611371,0.6472512228229721,0.4198717948717949
CTG,1.2544269485252628,0.7400589390093755,0.4775641025641026
FPT,0.9542083928199898,0.6770087297280613,0.4583333333333333
GAS,0.9012056486142799,0.5843122308000367,0.43830128205128205
GVR,1.6162886102116252,0.6819597478891383,0.4911858974358974
HDB,1.076912783505535,0.6708619590293328,0.483974358974359
HPG,1.2658806731014942,0.7209003346058201,0.44871794871794873
LPB,1.2000626464382798,0.6011709086957091,0.4895833333333333
MBB,1.239801636215545,0.7831738694265874,0.4655448717948718
MSN,1.1263915056935616,0.6071735975462295,0.44711538461538464
MWG,1.1831573598166738,0.6630078853684077,0.45032051282051283
PLX,0.9732385214938167,0.6116479228470609,0.43990384615384615
SAB,0.520825011425749,0.39317682872071363,0.4463141025641026
SHB,1.270267955480131,0.6297079499115167,0.4407051282051282
SSI,1.6364559066299695,0.7461633430730112,0.4751602564102564
STB,1.3817490144831075,0.6961214363034153,0.4823717948717949
TCB,1.2647278495912961,0.7444736821412212,0.4551282051282051
TPB,1.159809764514151,0.6687377154004029,0.4519230769230769
VCB,0.7838041574219867,0.6179582135595798,0.44310897435897434
VHM,1.036436014690153,0.6237462207134323,0.4391025641025641
VIB,1.0715371418957749,0.6328912713018205,0.44471153846153844
VIC,0.8586194996352953,0.5104582152270049,0.43189102564102566
VJC,0.5273402090413114,0.41375117318482385,0.42948717948717946
VNM,0.6147604256942807,0.537307536815487,0.40705128205128205
VPB,1.1594395747577544,0.6999645730943609,0.4623397435897436
VRE,1.1622267795412893,0.6318914538078754,0.4407051282051282
