ticker,annual_return,annual_volatility,sharpe_ratio,max_drawdown,var_95,cvar_95,total_return,sector
LPB,0.546956729157831,0.38508003054706513,1.4203715741395242,-0.6576086956521737,-0.03412131910771918,-0.055320570112443575,9.391566265060233,Banking
FPT,0.37954819462647954,0.27189047875868344,1.3959598598645588,-0.3188514732411306,-0.02342127582329199,-0.03906466746236155,4.450840550178311,Technology
MBB,0.3427207718922957,0.3053789183114971,1.122280391152308,-0.5067611075338054,-0.027551658173782495,-0.04837231012121078,3.3269639065817467,Banking
HDB,0.3435562453769457,0.3096651999797563,1.1094441525860994,-0.47796610169491527,-0.032059364688595535,-0.04501556901626048,3.32000000000001,Banking
VIB,0.34780998542209074,0.3266052483657573,1.0649246672012656,-0.5657197881559947,-0.029310432024942133,-0.04779088723408999,3.2986425339366523,Banking
ACB,0.2858819973371196,0.2710385034388118,1.0547652592158692,-0.4235955056179779,-0.02404011853983596,-0.04079349265473323,2.432835820895529,Banking
STB,0.38906144195602976,0.38290337292934645,1.0160825666788253,-0.5857740585774058,-0.037798650785965504,-0.05634985125940675,3.7729468599033984,Banking
VPB,0.31927378382919086,0.3195340147804558,0.9991855923337497,-0.45596291613990647,-0.029341024733808167,-0.0481172883521276,2.771929824561402,Banking
SSI,0.42111107329568426,0.4230731212289125,0.9953623904834015,-0.7247561297126286,-0.04701353702490818,-0.0635119219088272,4.163297045101071,Securities
TCB,0.3224037967682723,0.32771231988189087,0.9838012708355555,-0.6429587482219056,-0.030558151300517842,-0.05041930117944757,2.780487804878065,Banking
CTG,0.2789906086885567,0.3269821932966437,0.853228751926108,-0.5187398153177619,-0.030564560361565813,-0.050235287047808996,2.053066850447984,Banking
SHB,0.30993646984914286,0.38913581358569044,0.7964737734962878,-0.6627329192546587,-0.03522437648960548,-0.05868895615198579,2.192660550458732,Banking
BCM,0.2760818490660221,0.36311677862452224,0.7603114626424414,-0.47353937341236274,-0.03193006635590238,-0.052555381104817736,1.8368506493506391,Real Estate
MWG,0.2614878068113378,0.34424595989684303,0.759595862474887,-0.5546763523154747,-0.03382012243233796,-0.05295584532761628,1.7200667501043019,Retail
GVR,0.3415898611655258,0.4571989318297241,0.7471361750528872,-0.7562014532698567,-0.05916693745722737,-0.06781878928888115,2.2282608695652204,Industrial
HPG,0.2508209364251164,0.33873695427369677,0.7404593247374335,-0.7242105263157896,-0.03251501301003888,-0.05092954473902024,1.6062176165803081,Steel
TPB,0.2459036404471464,0.3345615131353246,0.7350027746547237,-0.5499049429657796,-0.033779422783763544,-0.05044702384763945,1.5611745513866189,Banking
VCB,0.1436706944455914,0.2446771931518857,0.5871846598976083,-0.3529303354220421,-0.021991795134606168,-0.03482844396202099,0.7566384592938427,Banking
BID,0.1615402161042714,0.3104974402683083,0.5202626339356635,-0.4183133871416641,-0.029487122060470366,-0.048329947721018854,0.7522373999058003,Banking
MSN,0.1715430676823563,0.3578668943836901,0.4793488036320982,-0.6464717458532481,-0.03598818751665563,-0.05241036139904134,0.7034774436090188,Consumer
VHM,0.14028258586585357,0.320538060316193,0.4376472039778134,-0.6098167835331376,-0.030534222817637298,-0.04658746347416852,0.5542876901798044,Real Estate
GAS,0.1202026396939007,0.29752534276319864,0.4040080706320549,-0.4678956740337281,-0.026650427776669042,-0.04512095756150134,0.4565826330532232,Energy
VIC,0.1107360537244671,0.3244782459951882,0.341274199707395,-0.6882812500000002,-0.028093363982539275,-0.04663126864608982,0.3355592654424022,Real Estate
BVH,0.10683649893789243,0.31320327424456634,0.341109138132664,-0.4024154589371961,-0.028307681438245295,-0.04770017888536224,0.3312034078807238,Insurance
VJC,0.07337865828238457,0.24586498614769484,0.29845102969767684,-0.46912751677852393,-0.021882919549586172,-0.033231119359612836,0.23958333333333348,Airline
VRE,0.0838558992280649,0.3548080236780401,0.23634160907296003,-0.5740740740740754,-0.034370314842578756,-0.05363994104930396,0.10916179337231524,Real Estate
PLX,0.04098039749419597,0.3069465957848897,0.13350986150996547,-0.5946819978440532,-0.029629885377659863,-0.04676275630745124,-0.030073150907613866,Energy
VNM,-0.008834783340441061,0.22071304696242117,-0.04002836924246386,-0.4577259475218646,-0.02029246848513876,-0.029614448439243237,-0.15110356536502323,Consumer
SAB,-0.03678121046773036,0.2555341526720418,-0.14393853065478954,-0.5213236172500297,-0.023663970588883608,-0.03640654934060601,-0.29078538677710397,Consumer
