sector,avg_annual_return,avg_volatility,avg_sharpe,avg_drawdown,n_stocks
Technology,0.37954819462647954,0.27189047875868344,1.3959598598645588,-0.3188514732411306,1
Securities,0.42111107329568426,0.4230731212289125,0.9953623904834015,-0.7247561297126286,1
Banking,0.31059279855957567,0.3256747508978795,0.9433083129271991,-0.5245360247458455,13
Retail,0.2614878068113378,0.34424595989684303,0.759595862474887,-0.5546763523154747,1
Industrial,0.3415898611655258,0.4571989318297241,0.7471361750528872,-0.7562014532698567,1
Steel,0.2508209364251164,0.33873695427369677,0.7404593247374335,-0.7242105263157896,1
Real Estate,0.1527390969711019,0.3407352771534859,0.44389361885015244,-0.586427870254894,4
Insurance,0.10683649893789243,0.31320327424456634,0.341109138132664,-0.4024154589371961,1
Airline,0.07337865828238457,0.24586498614769484,0.29845102969767684,-0.46912751677852393,1
Energy,0.08059151859404834,0.30223596927404417,0.2687589660710102,-0.5312888359388906,2
Consumer,0.041975691291394966,0.2780380313393844,0.0984606345782816,-0.5418404368750475,3
